PF04624.15	DEC1
PF15859.6	Dec-1
PF00244.21	14-3-3
PF10417.10	1-cysPrx_C
PF12574.9	120_Rick_ant
PF09847.10	12TM_1
PF16998.6	17kDa_Anti_2
PF13563.7	2_5_RNA_ligase2
PF00389.31	2-Hacid_dh
PF02826.20	2-Hacid_dh_C
PF00198.24	2-oxoacid_dh
PF16078.6	2-oxogl_dehyd_N
PF04029.15	2-ph_phosp
PF16620.6	23ISL
PF05635.12	23S_rRNA_IVP
PF08793.11	2C_adapt
PF08521.11	2CSK_N
PF11591.9	2Fe-2S_Ferredox
PF01257.20	2Fe-2S_thioredx
PF08975.11	2H-phosphodiest
PF03390.16	2HCT
PF10014.10	2OG-Fe_Oxy_2
PF03171.21	2OG-FeII_Oxy
PF13532.7	2OG-FeII_Oxy_2
PF13640.7	2OG-FeII_Oxy_3
PF13661.7	2OG-FeII_Oxy_4
PF13759.7	2OG-FeII_Oxy_5
PF13239.7	2TM
PF03475.15	3-alpha
PF06983.14	3-dmu-9_3-mt
PF06052.13	3-HAO
PF12578.9	3-PAP
PF11330.9	30K_MP_C_Ter
PF17644.2	30K_MP_core
PF00803.19	3A
PF01073.20	3Beta_HSD
PF06725.12	3D
PF02829.15	3H
PF10605.10	3HBOH
PF00725.23	3HCDH
PF02737.19	3HCDH_N
PF18321.2	3HCDH_RFF
PF05902.14	4_1_CTD
PF16121.6	40S_S4_C
PF16122.6	40S_SA_C
PF04419.15	4F5
PF17947.2	4HB
PF12729.8	4HB_MCP_1
PF03061.23	4HBT
PF13279.7	4HBT_2
PF13622.7	4HBT_3
PF04476.14	4HFCP_synth
PF18671.2	4HPAD_g_N
PF17837.2	4PPT_N
PF01367.21	5_3_exonuc
PF02739.17	5_3_exonuc_N
PF05761.15	5_nucleotid
PF02872.19	5_nucleotid_C
PF01812.21	5-FTHF_cyc-lig
PF06189.13	5-nucleotidase
PF09038.11	53-BP1_Tudor
PF03491.14	5HT_transport_N
PF07694.13	5TM-5TMR_LYT
PF02096.21	60KD_IMP
PF01591.19	6PF2K
PF00393.20	6PGD
PF02294.19	7kD_DNA_binding
PF00001.22	7tm_1
PF00002.25	7tm_2
PF00003.23	7tm_3
PF13853.7	7tm_4
PF02949.21	7tm_6
PF08395.13	7tm_7
PF02117.17	7TM_GPCR_Sra
PF10292.10	7TM_GPCR_Srab
PF02175.17	7TM_GPCR_Srb
PF10316.10	7TM_GPCR_Srbc
PF10317.10	7TM_GPCR_Srd
PF10318.10	7TM_GPCR_Srh
PF10327.10	7TM_GPCR_Sri
PF10319.10	7TM_GPCR_Srj
PF10320.10	7TM_GPCR_Srsx
PF10321.10	7TM_GPCR_Srt
PF10322.10	7TM_GPCR_Sru
PF10323.10	7TM_GPCR_Srv
PF10324.10	7TM_GPCR_Srw
PF10328.10	7TM_GPCR_Srx
PF10325.10	7TM_GPCR_Srz
PF10326.10	7TM_GPCR_Str
PF14402.7	7TM_transglut
PF07698.12	7TM-7TMR_HD
PF07695.12	7TMR-DISM_7TM
PF07696.12	7TMR-DISMED2
PF07697.12	7TMR-HDED
PF17028.6	8TM_micro
PF01356.20	A_amylase_inhib
PF02137.19	A_deamin
PF00962.23	A_deaminase
PF08451.12	A_deaminase_N
PF18424.2	a_DG1_N2
PF09713.11	A_thal_3526
PF07388.12	A-2_8-polyST
PF07966.13	A1_Propeptide
PF08792.11	A2L_zn_ribbon
PF00207.23	A2M
PF07703.15	A2M_BRD
PF07677.15	A2M_recep
PF00696.29	AA_kinase
PF00324.22	AA_permease
PF13520.7	AA_permease_2
PF13906.7	AA_permease_C
PF08403.11	AA_permease_N
PF06684.12	AA_synth
PF01490.19	Aa_trans
PF00004.30	AAA
PF12846.8	AAA_10
PF13086.7	AAA_11
PF13087.7	AAA_12
PF13166.7	AAA_13
PF13173.7	AAA_14
PF13175.7	AAA_15
PF13191.7	AAA_16
PF13207.7	AAA_17
PF13238.7	AAA_18
PF13245.7	AAA_19
PF07724.15	AAA_2
PF13304.7	AAA_21
PF13401.7	AAA_22
PF13476.7	AAA_23
PF13479.7	AAA_24
PF13481.7	AAA_25
PF13500.7	AAA_26
PF13514.7	AAA_27
PF13521.7	AAA_28
PF13555.7	AAA_29
PF07726.12	AAA_3
PF13604.7	AAA_30
PF13614.7	AAA_31
PF13654.7	AAA_32
PF13671.7	AAA_33
PF13872.7	AAA_34
PF14516.7	AAA_35
PF07728.15	AAA_5
PF12774.8	AAA_6
PF12775.8	AAA_7
PF12780.8	AAA_8
PF12781.8	AAA_9
PF14363.7	AAA_assoc
PF16193.6	AAA_assoc_2
PF09821.10	AAA_assoc_C
PF17857.2	AAA_lid_1
PF17872.2	AAA_lid_10
PF18198.2	AAA_lid_11
PF17863.2	AAA_lid_2
PF17862.2	AAA_lid_3
PF17864.2	AAA_lid_4
PF17865.2	AAA_lid_5
PF17866.2	AAA_lid_6
PF17867.2	AAA_lid_7
PF17868.2	AAA_lid_8
PF17871.2	AAA_lid_9
PF08298.12	AAA_PrkA
PF09820.10	AAA-ATPase_like
PF18280.2	AadA_C
PF03306.14	AAL_decarboxy
PF04611.13	AalphaY_MDB
PF05282.12	AAR2
PF08142.13	AARP2CN
PF03417.17	AAT
PF07247.13	AATase
PF13339.7	AATF-Che1
PF12430.9	ABA_GPCR
PF02496.17	ABA_WDS
PF07336.12	ABATE
PF14156.7	AbbA_antirepres
PF09818.10	ABC_ATPase
PF09819.10	ABC_cobalt
PF16962.6	ABC_export
PF00664.24	ABC_membrane
PF06472.16	ABC_membrane_2
PF13748.7	ABC_membrane_3
PF04392.13	ABC_sub_bind
PF00005.28	ABC_tran
PF16949.6	ABC_tran_2
PF16326.6	ABC_tran_CTD
PF12848.8	ABC_tran_Xtn
PF03886.14	ABC_trans_aux
PF06541.12	ABC_trans_CmpB
PF14510.7	ABC_trans_N
PF09822.10	ABC_transp_aux
PF00950.18	ABC-3
PF03109.17	ABC1
PF01061.25	ABC2_membrane
PF12679.8	ABC2_membrane_2
PF12698.8	ABC2_membrane_3
PF12730.8	ABC2_membrane_4
PF13346.7	ABC2_membrane_5
PF06182.12	ABC2_membrane_6
PF19055.1	ABC2_membrane_7
PF12407.9	Abdominal-A
PF05270.14	AbfB
PF18225.2	AbfS_sensor
PF03806.14	ABG_transport
PF04083.17	Abhydro_lipase
PF00561.21	Abhydrolase_1
PF02230.17	Abhydrolase_2
PF07859.14	Abhydrolase_3
PF08386.11	Abhydrolase_4
PF12695.8	Abhydrolase_5
PF12697.8	Abhydrolase_6
PF12715.8	Abhydrolase_7
PF06259.13	Abhydrolase_8
PF10081.10	Abhydrolase_9
PF15420.7	Abhydrolase_9_N
PF07751.12	Abi_2
PF14337.7	Abi_alpha
PF14355.7	Abi_C
PF07815.15	Abi_HHR
PF09407.11	AbiEi_1
PF09952.10	AbiEi_2
PF11459.9	AbiEi_3
PF17194.5	AbiEi_3_N
PF13338.7	AbiEi_4
PF08843.12	AbiEii
PF10899.9	AbiGi
PF16873.6	AbiGii_2
PF14253.7	AbiH
PF18860.2	AbiJ_NTD3
PF18863.2	AbiJ_NTD4
PF18865.2	AbiJ_NTD5
PF18864.2	AbiTii
PF16182.6	AbLIM_anchor
PF03992.17	ABM
PF09441.11	Abp2
PF05145.13	AbrB
PF18277.2	AbrB_C
PF14250.7	AbrB-like
PF18883.1	AC_1
PF16214.6	AC_N
PF07280.12	Ac110_PIF
PF05814.12	Ac76
PF05820.12	Ac81
PF16177.6	ACAS_N
PF13000.8	Acatn
PF00887.20	ACBP
PF08326.13	ACC_central
PF13822.7	ACC_epsilon
PF03255.15	ACCA
